userid,coffeeid,Stars,created_date
30,206,4,2023-11-16 05:23:30.096578
30,330,5,2023-11-16 05:23:30.097772
30,363,4,2023-11-16 05:23:30.100484
30,375,4,2023-11-16 05:23:30.103198
30,454,4,2023-11-16 05:23:30.105600
30,501,3,2023-11-16 05:23:30.107153
30,548,1,2023-11-16 05:23:30.109608
31,15,4,2023-11-16 05:26:40.952062
31,57,1,2023-11-16 05:26:40.957305
31,60,4,2023-11-16 05:26:40.961771
31,76,1,2023-11-16 05:26:40.964884
31,221,3,2023-11-16 05:26:40.968276
31,240,3,2023-11-16 05:26:40.971645
31,359,1,2023-11-16 05:26:40.979823
31,489,4,2023-11-16 05:26:40.983500
31,491,5,2023-11-16 05:26:40.987119
31,518,2,2023-11-16 05:26:40.990842
32,43,4,2023-11-16 05:35:35.264694
32,193,4,2023-11-16 05:35:35.274137
32,221,5,2023-11-16 05:35:35.277531
32,244,3,2023-11-16 05:35:35.279308
32,337,2,2023-11-16 05:35:35.282835
32,347,4,2023-11-16 05:35:35.286296
32,369,3,2023-11-16 05:35:35.289880
32,373,4,2023-11-16 05:35:35.294015
32,439,4,2023-11-16 05:35:35.295797
32,508,4,2023-11-16 05:35:35.299619
33,39,5,2023-11-16 05:59:21.786321
33,50,1,2023-11-16 05:59:21.793893
33,99,5,2023-11-16 05:59:21.800013
33,191,1,2023-11-16 05:59:21.805467
33,217,5,2023-11-16 05:59:21.812613
33,263,5,2023-11-16 05:59:21.816589
33,293,5,2023-11-16 05:59:21.820025
33,379,1,2023-11-16 05:59:21.824569
33,501,5,2023-11-16 05:59:21.828267
33,539,1,2023-11-16 05:59:21.831835
34,70,4,2023-11-16 06:03:32.232679
34,99,3,2023-11-16 06:03:32.236371
34,119,4,2023-11-16 06:03:32.239728
34,128,2,2023-11-16 06:03:32.244845
34,226,2,2023-11-16 06:03:32.248224
34,235,4,2023-11-16 06:03:32.252319
34,458,2,2023-11-16 06:03:32.256008
34,492,5,2023-11-16 06:03:32.259366
34,496,2,2023-11-16 06:03:32.262728
34,514,4,2023-11-16 06:03:32.265941
35,55,5,2023-11-16 06:53:46.910804
35,65,3,2023-11-16 06:53:46.917208
35,86,4,2023-11-16 06:53:46.920458
35,98,2,2023-11-16 06:53:46.925002
35,221,4,2023-11-16 06:53:46.928421
35,223,2,2023-11-16 06:53:46.931823
35,282,4,2023-11-16 06:53:46.935107
35,367,2,2023-11-16 06:53:46.938406
35,418,3,2023-11-16 06:53:46.941779
35,527,2,2023-11-16 06:53:46.943486
36,54,4,2023-11-16 07:08:04.417590
36,67,1,2023-11-16 07:08:04.421386
36,144,2,2023-11-16 07:08:04.424882
36,283,2,2023-11-16 07:08:04.428315
36,327,4,2023-11-16 07:08:04.431764
36,370,2,2023-11-16 07:08:04.435200
36,470,4,2023-11-16 07:08:04.438656
36,521,2,2023-11-16 07:08:04.442035
36,532,2,2023-11-16 07:08:04.451046
36,538,2,2023-11-16 07:08:04.456507
37,30,2,2023-11-16 07:38:12.501477
37,71,5,2023-11-16 07:38:12.507751
37,78,5,2023-11-16 07:38:12.511087
37,96,4,2023-11-16 07:38:12.514481
37,217,2,2023-11-16 07:38:12.518581
37,218,3,2023-11-16 07:38:12.522002
37,229,2,2023-11-16 07:38:12.523826
37,236,1,2023-11-16 07:38:12.527460
37,319,2,2023-11-16 07:38:12.531086
37,488,3,2023-11-16 07:38:12.534627
38,18,3,2023-11-16 07:42:18.916858
38,96,5,2023-11-16 07:42:18.920421
