coffeeid,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
216,3,3,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218,4,1,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
219,3,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
220,3,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
221,3,4,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
222,3,4,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
223,4,2,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
224,5,1,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
226,3,3,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
227,4,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
228,4,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229,3,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,4,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,5,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,5,1,5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233,5,1,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
234,4,2,5,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
235,4,1,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
236,2,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
237,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
238,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
239,3,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,3,3,3,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
242,2,3,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
243,3,3,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
244,3,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
245,4,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,2,4,4,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,4,3,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
248,3,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
249,3,3,5,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
250,2,4,5,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251,3,1,5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
252,2,4,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
253,3,3,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
254,4,2,5,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,4,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
256,5,3,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,2,4,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
258,4,3,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
259,4,2,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
260,4,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
261,5,1,4,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,4,1,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,5,1,4,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
264,4,4,4,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
265,4,3,5,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
266,4,1,4,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,4,3,4,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
268,2,3,5,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
269,2,3,4,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
